 ,Area,IntDen,RawIntDen
841,0.769,322.704,3358.000
842,0.481,191.816,1996.000
843,0.577,211.324,2199.000
844,3.075,2456.221,25559.000
845,3.075,1833.492,19079.000
846,0.673,551.710,5741.000
847,0.577,265.140,2759.000
848,0.096,29.791,310.000
849,0.961,356.723,3712.000
850,5.189,2846.098,29616.000
851,0.673,344.903,3589.000
852,1.730,732.378,7621.000
853,7.015,8410.674,87520.000
854,5.093,3108.355,32345.000
855,0.961,597.454,6217.000
856,1.826,1523.185,15850.000
857,0.769,371.715,3868.000
858,0.673,340.578,3544.000
859,7.208,4231.861,44036.000
860,6.054,3551.857,36960.000
861,1.442,1238.729,12890.000
862,2.883,1439.867,14983.000
863,1.634,777.738,8093.000
864,4.901,3462.003,36025.000
865,0.673,434.757,4524.000
866,3.075,1600.642,16656.000
867,4.517,4931.181,51313.000
868,3.075,2152.160,22395.000
869,7.111,7690.020,80021.000
870,1.153,1016.738,10580.000
871,4.421,2569.330,26736.000
872,3.652,3919.824,40789.000
873,1.057,905.454,9422.000
874,0.673,394.395,4104.000
875,0.961,388.532,4043.000
876,0.384,197.486,2055.000
877,2.018,1571.043,16348.000
878,5.958,8649.483,90005.000
879,16.049,17957.828,186866.000
880,1.057,494.819,5149.000
881,3.940,2150.815,22381.000
882,1.345,548.635,5709.000
883,0.384,129.447,1347.000
884,11.148,21118.173,219752.000
885,4.132,2392.987,24901.000
886,1.057,583.135,6068.000
887,2.691,1344.343,13989.000
888,1.538,751.791,7823.000
889,2.499,1284.185,13363.000
890,1.345,998.383,10389.000
891,0.481,205.366,2137.000
892,5.574,3511.399,36539.000
893,3.844,2731.163,28420.000
894,0.577,210.940,2195.000
895,6.150,3978.061,41395.000
896,2.210,1121.487,11670.000
897,0.096,35.461,369.000
898,3.364,1770.739,18426.000
899,0.769,272.059,2831.000
900,2.499,1289.278,13416.000
901,1.442,480.596,5001.000
902,1.249,602.643,6271.000
903,0.481,214.687,2234.000
904,2.691,2335.711,24305.000
905,0.673,590.919,6149.000
906,1.057,437.928,4557.000
907,2.979,3449.030,35890.000
908,1.826,1086.123,11302.000
909,0.481,282.630,2941.000
910,3.364,1879.140,19554.000
911,3.460,5213.523,54251.000
912,4.709,3942.696,41027.000
913,0.384,123.873,1289.000
914,2.403,1369.233,14248.000
915,8.072,6292.822,65482.000
916,2.210,1459.952,15192.000
917,5.958,4457.408,46383.000
918,9.130,7908.744,82297.000
919,0.384,261.296,2719.000
920,6.343,11733.044,122092.000
921,3.652,2671.677,27801.000
922,0.384,177.112,1843.000
923,0.577,194.218,2021.000
924,2.883,2891.362,30087.000
925,0.961,919.389,9567.000
926,0.577,188.164,1958.000
927,5.382,4467.210,46485.000
928,4.228,1826.573,19007.000
929,2.691,1821.864,18958.000
930,2.691,1180.397,12283.000
931,2.210,2080.950,21654.000
932,0.192,72.940,759.000
933,2.499,2564.910,26690.000
934,1.922,930.056,9678.000
935,1.826,808.874,8417.000
936,1.249,555.362,5779.000
937,0.961,469.641,4887.000
938,1.922,2420.471,25187.000
939,0.673,249.091,2592.000
940,6.535,3321.313,34561.000
941,2.210,1017.795,10591.000
942,0.288,186.530,1941.000
943,0.769,303.484,3158.000
944,0.096,35.845,373.000
945,1.538,890.463,9266.000
946,3.652,2753.842,28656.000
947,2.691,1619.958,16857.000
948,0.192,72.459,754.000
949,4.709,3468.346,36091.000
950,2.306,1459.759,15190.000
951,1.730,1714.232,17838.000
952,3.844,3378.781,35159.000
953,2.210,987.908,10280.000
954,5.286,4478.934,46607.000
955,3.844,5104.641,53118.000
956,0.481,482.807,5024.000
957,0.384,326.260,3395.000
958,4.613,3953.555,41140.000
959,0.096,53.143,553.000
960,7.496,3991.515,41535.000
961,1.153,453.208,4716.000
962,0.673,263.218,2739.000
963,0.865,396.413,4125.000
964,2.883,1898.264,19753.000
965,0.192,119.164,1240.000
966,1.634,679.908,7075.000
967,0.481,201.906,2101.000
968,3.556,2050.871,21341.000
969,2.979,3006.970,31290.000
970,9.898,8555.785,89030.000
971,2.595,1246.610,12972.000
972,0.673,295.604,3076.000
973,3.075,2872.045,29886.000
974,0.865,622.536,6478.000
975,0.384,382.190,3977.000
976,2.114,1834.069,19085.000
977,0.288,142.420,1482.000
978,0.865,538.545,5604.000
979,1.634,927.269,9649.000
980,2.210,925.828,9634.000
981,0.961,622.536,6478.000
982,1.826,1201.250,12500.000
983,0.577,241.211,2510.000
984,1.345,1498.488,15593.000
985,2.883,1958.134,20376.000
986,1.634,877.585,9132.000
987,1.057,335.293,3489.000
988,0.481,147.321,1533.000
989,0.192,82.550,859.000
990,9.226,15780.874,164213.000
991,0.865,454.265,4727.000
992,0.384,193.834,2017.000
993,0.096,37.575,391.000
994,2.210,1057.100,11000.000
995,2.691,2146.682,22338.000
996,0.577,362.297,3770.000
997,0.192,60.159,626.000
998,0.481,255.818,2662.000
999,4.325,2444.977,25442.000
1000,5.286,2849.942,29656.000
1001,0.192,75.631,787.000
1002,3.075,1383.840,14400.000
1003,8.169,13006.658,135345.000
1004,2.018,963.403,10025.000
1005,2.210,834.629,8685.000
1006,3.267,2303.325,23968.000
1007,0.481,147.225,1532.000
1008,1.057,411.212,4279.000
1009,8.265,13099.683,136313.000
1010,0.865,552.863,5753.000
1011,0.096,84.856,883.000
1012,0.481,394.106,4101.000
1013,1.826,738.240,7682.000
1014,1.730,1084.777,11288.000
1015,0.769,894.307,9306.000
1016,0.288,139.729,1454.000
1017,2.787,5778.879,60134.000
1018,1.538,1265.349,13167.000
1019,3.364,1594.876,16596.000
1020,1.538,1184.913,12330.000
1021,0.096,69.192,720.000
1022,1.634,805.030,8377.000
1023,1.826,839.242,8733.000
1024,4.517,5063.703,52692.000
1025,0.384,118.011,1228.000
1026,1.057,1028.078,10698.000
1027,2.787,1171.652,12192.000
1028,5.958,5417.927,56378.000
1029,3.171,4825.855,50217.000
1030,0.096,32.866,342.000
1031,8.553,6053.629,62993.000
1032,2.306,2019.254,21012.000
1033,0.481,422.840,4400.000
1034,0.577,490.783,5107.000
1035,1.057,942.933,9812.000
1036,0.673,211.708,2203.000
1037,1.922,1277.938,13298.000
1038,3.267,3701.004,38512.000
1039,3.364,2676.194,27848.000
1040,0.577,182.974,1904.000
1041,0.961,564.107,5870.000
1042,2.787,1655.323,17225.000
1043,0.096,54.297,565.000
1044,12.301,12622.642,131349.000
1045,0.481,357.588,3721.000
1046,6.054,2969.299,30898.000
1047,1.345,1089.486,11337.000
1048,0.961,680.196,7078.000
1049,1.922,1440.636,14991.000
1050,0.384,160.583,1671.000
1051,1.249,581.117,6047.000
1052,2.499,2165.614,22535.000
1053,4.901,4428.097,46078.000
1054,2.018,790.327,8224.000
1055,4.805,2169.458,22575.000
1056,8.265,6148.288,63978.000
1057,1.057,1104.766,11496.000
1058,0.096,41.227,429.000
1059,2.787,1456.396,15155.000
1060,3.652,2419.606,25178.000
1061,1.538,620.037,6452.000
1062,0.288,262.161,2728.000
1063,0.577,190.374,1981.000
1064,1.345,788.309,8203.000
1065,4.709,2170.804,22589.000
1066,1.442,572.660,5959.000
1067,4.901,4241.279,44134.000
1068,0.384,226.604,2358.000
1069,0.192,67.366,701.000
1070,1.442,1125.139,11708.000
1071,1.345,592.841,6169.000
1072,1.538,607.929,6326.000
1073,7.015,16966.556,176551.000
1074,7.880,15266.835,158864.000
1075,0.481,288.781,3005.000
1076,0.481,542.389,5644.000
1077,4.228,5340.182,55569.000
1078,3.364,3523.219,36662.000
1079,0.192,112.533,1171.000
1080,6.150,5790.507,60255.000
1081,1.634,1942.854,20217.000
1082,2.114,1017.795,10591.000
1083,2.691,5697.578,59288.000
1084,1.922,778.602,8102.000
1085,0.096,32.866,342.000
1086,4.325,3581.168,37265.000
1087,0.096,37.479,390.000
1088,6.823,6316.270,65726.000
1089,0.096,82.166,855.000
1090,3.075,2279.781,23723.000
1091,2.499,1197.599,12462.000
1092,1.057,1218.837,12683.000
1093,3.460,2052.408,21357.000
1094,1.922,818.676,8519.000
1095,2.114,1134.749,11808.000
1096,0.577,248.899,2590.000
1097,0.769,444.174,4622.000
1098,1.057,860.095,8950.000
1099,2.114,1773.526,18455.000
1100,6.343,4112.505,42794.000
1101,2.018,737.760,7677.000
1102,5.286,3965.279,41262.000
1103,7.592,11930.914,124151.000
1104,4.517,2502.060,26036.000
1105,6.054,13996.392,145644.000
1106,0.769,396.701,4128.000
1107,7.688,3568.194,37130.000
1108,2.691,1853.385,19286.000
1109,4.997,3104.896,32309.000
1110,1.922,733.916,7637.000
1111,0.865,623.785,6491.000
1112,1.153,804.742,8374.000
1113,3.364,1520.783,15825.000
1114,0.384,272.059,2831.000
1115,1.057,816.370,8495.000
1116,10.859,10038.032,104454.000
1117,0.096,69.000,718.000
1118,2.114,1911.526,19891.000
1119,4.709,4354.484,45312.000
1120,0.577,511.348,5321.000
1121,1.826,1415.938,14734.000
1122,1.826,678.851,7064.000
1123,1.249,768.320,7995.000
1124,2.210,1878.948,19552.000
1125,0.384,137.904,1435.000
1126,5.093,2689.167,27983.000
1127,1.153,548.923,5712.000
1128,0.769,413.518,4303.000
1129,1.730,1549.517,16124.000
1130,4.132,3295.366,34291.000
1131,1.057,755.731,7864.000
1132,0.096,47.954,499.000
